dataset,group,time,peer,round,accuracy,loss
cifar10,DL,10.427006,0,1,10.800000,2.313310
cifar10,DL,10.427006,0,1,17.990000,2.272488
cifar10,DL,10.427006,0,1,18.770000,2.314461
cifar10,DL,10.427006,0,1,10.180000,2.323192
cifar10,DL,10.427006,0,1,11.780000,2.273899
cifar10,DL,10.427006,0,1,14.390000,2.310462
cifar10,DL,10.427006,0,1,13.180000,2.332168
cifar10,DL,10.427006,0,1,13.760000,2.260683
cifar10,DL,10.427006,0,1,13.320000,2.333998
cifar10,DL,10.427006,0,1,17.330000,2.248852
cifar10,DL,10.427006,0,1,13.330000,2.282689
cifar10,DL,10.427006,0,1,14.460000,2.271041
cifar10,DL,10.427006,0,1,14.100000,2.297255
cifar10,DL,10.427006,0,1,12.970000,2.331252
cifar10,DL,10.427006,0,1,16.680000,2.239810
cifar10,DL,10.427006,0,1,13.900000,2.255014
cifar10,DL,10.427006,0,1,13.440000,2.332420
cifar10,DL,10.427006,0,1,15.430000,2.282205
cifar10,DL,10.427006,0,1,10.510000,2.362302
cifar10,DL,10.427006,0,1,18.720000,2.233131
cifar10,DL,10.427006,0,1,10.530000,2.313254
cifar10,DL,10.427006,0,1,10.000000,2.334158
cifar10,DL,10.427006,0,1,12.270000,2.314724
cifar10,DL,10.427006,0,1,10.010000,2.367875
cifar10,DL,10.427006,0,1,14.710000,2.288326
cifar10,DL,10.427006,0,1,11.490000,2.324662
cifar10,DL,10.427006,0,1,11.340000,2.248920
cifar10,DL,10.427006,0,1,14.650000,2.423559
cifar10,DL,10.427006,0,1,13.720000,2.340099
cifar10,DL,10.427006,0,1,15.490000,2.287596
cifar10,DL,10.427006,0,1,18.340000,2.254346
cifar10,DL,10.427006,0,1,10.580000,2.315981
cifar10,DL,10.427006,0,1,16.470000,2.228127
cifar10,DL,10.427006,0,1,13.400000,2.407477
cifar10,DL,10.427006,0,1,13.300000,2.245901
cifar10,DL,10.427006,0,1,18.750000,2.236606
cifar10,DL,10.427006,0,1,14.020000,2.259909
cifar10,DL,10.427006,0,1,16.250000,2.274278
cifar10,DL,10.427006,0,1,16.320000,2.298047
cifar10,DL,10.427006,0,1,14.320000,2.293588
cifar10,DL,10.427006,0,1,13.930000,2.321965
cifar10,DL,10.427006,0,1,12.080000,2.311800
cifar10,DL,10.427006,0,1,10.130000,2.380410
cifar10,DL,10.427006,0,1,16.620000,2.256092
cifar10,DL,10.427006,0,1,14.420000,2.276678
cifar10,DL,10.427006,0,1,12.320000,2.285992
cifar10,DL,10.427006,0,1,14.160000,2.231005
cifar10,DL,10.427006,0,1,11.680000,2.290588
cifar10,DL,10.427006,0,1,15.020000,2.276511
cifar10,DL,10.427006,0,1,18.250000,2.347323
cifar10,DL,10.427006,0,1,15.590000,2.243048
cifar10,DL,10.427006,0,1,14.490000,2.292257
cifar10,DL,10.427006,0,1,10.280000,2.353070
cifar10,DL,10.427006,0,1,15.270000,2.365433
cifar10,DL,10.427006,0,1,10.100000,2.286901
cifar10,DL,10.427006,0,1,11.060000,2.330778
cifar10,DL,10.427006,0,1,11.550000,2.392360
cifar10,DL,10.427006,0,1,10.300000,2.333994
cifar10,DL,10.427006,0,1,12.950000,2.256632
cifar10,DL,10.427006,0,1,10.950000,2.319524
cifar10,DL,10.427006,0,1,14.950000,2.293611
cifar10,DL,10.427006,0,1,13.340000,2.293846
cifar10,DL,10.427006,0,1,17.710000,2.200946
cifar10,DL,10.427006,0,1,15.220000,2.290685
cifar10,DL,10.427006,0,1,13.180000,2.319964
cifar10,DL,10.427006,0,1,11.490000,2.260498
cifar10,DL,10.427006,0,1,15.030000,2.367274
cifar10,DL,10.427006,0,1,14.600000,2.340413
cifar10,DL,10.427006,0,1,12.010000,2.249880
cifar10,DL,10.427006,0,1,14.380000,2.314502
cifar10,DL,10.427006,0,1,13.310000,2.317261
cifar10,DL,10.427006,0,1,13.090000,2.379513
cifar10,DL,10.427006,0,1,15.950000,2.259886
cifar10,DL,10.427006,0,1,10.060000,2.318667
cifar10,DL,10.427006,0,1,17.310000,2.267313
cifar10,DL,10.427006,0,1,15.450000,2.239160
cifar10,DL,10.427006,0,1,12.980000,2.337213
cifar10,DL,10.427006,0,1,15.580000,2.321303
cifar10,DL,10.427006,0,1,10.740000,2.308094
cifar10,DL,10.427006,0,1,15.540000,2.275914
cifar10,DL,10.427006,0,1,15.260000,2.302128
cifar10,DL,10.427006,0,1,13.070000,2.279819
cifar10,DL,10.427006,0,1,13.390000,2.320371
cifar10,DL,10.427006,0,1,10.530000,2.366001
cifar10,DL,10.427006,0,1,15.240000,2.292478
cifar10,DL,10.427006,0,1,15.490000,2.307006
cifar10,DL,10.427006,0,1,15.710000,2.322358
cifar10,DL,10.427006,0,1,10.040000,2.303022
cifar10,DL,10.427006,0,1,16.250000,2.290569
cifar10,DL,10.427006,0,1,14.410000,2.299275
cifar10,DL,10.427006,0,1,14.370000,2.356908
cifar10,DL,10.427006,0,1,13.110000,2.328841
cifar10,DL,10.427006,0,1,13.890000,2.266844
cifar10,DL,10.427006,0,1,12.430000,2.261231
cifar10,DL,10.427006,0,1,15.450000,2.253856
cifar10,DL,10.427006,0,1,11.730000,2.291755
cifar10,DL,10.427006,0,1,15.950000,2.256787
cifar10,DL,10.427006,0,1,11.710000,2.300718
cifar10,DL,10.427006,0,1,10.120000,2.346650
cifar10,DL,10.427006,0,1,15.520000,2.303221
cifar10,DL,10.427006,0,1,15.260000,2.263411
cifar10,DL,10.427006,0,1,14.150000,2.369299
cifar10,DL,10.427006,0,1,12.560000,2.334894
cifar10,DL,10.427006,0,1,13.380000,2.275719
cifar10,DL,10.427006,0,1,12.210000,2.252217
cifar10,DL,10.427006,0,1,11.480000,2.389939
cifar10,DL,10.427006,0,1,11.170000,2.274361
cifar10,DL,10.427006,0,1,10.220000,2.285003
cifar10,DL,10.427006,0,1,15.880000,2.276534
cifar10,DL,10.427006,0,1,16.100000,2.336184
cifar10,DL,10.427006,0,1,15.790000,2.328208
